country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,DENIED,MASTER'S,MANAGEMENT,2013-08-22,2015-04-02,588,2013,8,3,3
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL & COMPUTER ENGINEERING,2013-11-06,2015-05-06,546,2013,11,4,2
MEXICO,EWI,NEW JERSEY,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-08-08,2015-03-27,596,2013,8,3,3
CANADA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,"SCIENCE, STATISTICS",2013-08-20,2015-08-14,724,2013,8,3,1
CANADA,F-2,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-09-07,2015-04-17,587,2013,9,3,5
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-12-30,2015-06-15,532,2013,12,4,0
JAPAN,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,MATHEMATICS,2013-12-13,2015-06-01,535,2013,12,4,4
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-28,2015-05-08,526,2013,11,4,3
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-11-27,2015-05-21,540,2013,11,4,2
ISRAEL,L-1,MISSOURI,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-20,2015-06-19,546,2013,12,4,4
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-11,2015-06-04,540,2013,12,4,2
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS & COMMUNICATION ENGINEERING,2014-01-17,2015-06-15,514,2014,1,1,4
INDONESIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-12-30,2015-06-09,526,2013,12,4,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS,2013-12-30,2015-06-04,521,2013,12,4,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL & COMPUTER ENGINEERING,2013-12-16,2015-07-10,571,2013,12,4,0
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL ENGINEERING,2013-12-13,2015-06-11,545,2013,12,4,4
FRANCE,O-1,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,SPECIAL PROGRAM OF THOROUGHBRED TRAINING,2013-12-13,2015-06-11,545,2013,12,4,4
INDIA,EWI,NEW YORK,UNKNOWN,CERTIFIED,ASSOCIATE'S,BCOMM,2014-02-25,2015-07-01,491,2014,2,1,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,INDUSTRIAL AND PRODUCTION ENGINEERING,2013-12-06,2015-06-05,546,2013,12,4,4
HONG KONG,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,CHEMICAL ENGINEERING,2014-01-10,2015-06-19,525,2014,1,1,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SECURITY,2013-12-09,2015-05-28,535,2013,12,4,0
INDIA,L-1,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-01-14,2015-06-24,526,2014,1,1,1
INDIA,H-1B,NEBRASKA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-12-12,2015-06-11,546,2013,12,4,3
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,STATISTICS,2013-12-02,2015-07-28,603,2013,12,4,0
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2013-12-12,2015-06-08,543,2013,12,4,3
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-12-19,2015-06-10,538,2013,12,4,3
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,DENIED,OTHER,INDUSTRIAL DESIGN,2013-12-12,2015-05-20,524,2013,12,4,3
BELARUS,L-1,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION TECHNOLOGY,2013-12-17,2015-06-05,535,2013,12,4,1
PAKISTAN,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,MATHEMATICS,2013-12-06,2015-07-02,573,2013,12,4,4
BRAZIL,L-1,MICHIGAN,UNKNOWN,CERTIFIED,BACHELOR'S,CHEMICAL ENGINEERING,2013-12-20,2015-05-28,524,2013,12,4,4
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,HOSPITAL MANAGEMENT,2013-12-04,2015-06-16,559,2013,12,4,2
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS  AND INSTRUMENTATION ENGINEERING,2013-11-30,2015-05-22,538,2013,11,4,5
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-12-03,2015-05-28,541,2013,12,4,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,OCCUPATIONAL THERAPY,2013-12-03,2015-05-29,542,2013,12,4,1
SPAIN,E-2,MASSACHUSETTS,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-12-16,2015-07-23,584,2013,12,4,0
SOUTH AFRICA,H-1B,TEXAS,UNKNOWN,DENIED,HIGH SCHOOL,"GENERAL MANDATORY SUBJECTS-MATH, SCIENCE, COMPUTER SCIENCE",2013-12-13,2015-06-03,537,2013,12,4,4
CANADA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,ASSOCIATE'S,BUSINESS ADMINISTRATION,2013-12-18,2015-07-02,561,2013,12,4,2
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION MANAGEMENT,2014-01-21,2015-06-22,517,2014,1,1,1
CHINA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,OTHER,GENERAL EDUCATION,2014-01-25,2015-06-10,501,2014,1,1,5
CHINA,H-1B,INDIANA,UNKNOWN,CERTIFIED,MASTER'S,ACCOUNTING,2013-12-11,2015-06-11,547,2013,12,4,2
SLOVAKIA,B-2,ILLINOIS,UNKNOWN,DENIED,ASSOCIATE'S,PHYSICAL THERAPY,2013-12-06,2014-12-29,388,2013,12,4,4
MEXICO,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-25,2015-09-16,660,2013,11,4,0
SOUTH KOREA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,DOCTORATE,MECHANICAL ENGINEERING,2013-12-10,2015-06-23,560,2013,12,4,1
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,HIGH SCHOOL,JUNIOR HIGH SCHOOL,2013-12-10,2015-06-10,547,2013,12,4,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,DOCTORATE,CIVIL ENGINEERING,2014-01-15,2015-06-16,517,2014,1,1,2
CHINA,H-1B,MISSOURI,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS,2013-12-21,2015-06-02,528,2013,12,4,5
SOUTH KOREA,E-2,GUAM,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-01-06,2015-07-16,556,2014,1,1,0
CHINA,H-4,NEW YORK,UNKNOWN,DENIED,MASTER'S,STATISTICS,2013-12-13,2014-12-29,381,2013,12,4,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-11-27,2015-05-14,533,2013,11,4,2
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS ENGINEERING,2013-12-18,2015-06-23,552,2013,12,4,2
SOUTH KOREA,F-2,CALIFORNIA,UNKNOWN,CERTIFIED,ASSOCIATE'S,BUSINESS ADMINISTRATION,2013-12-06,2015-06-02,543,2013,12,4,4
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2013-12-16,2015-05-29,529,2013,12,4,0
INDIA,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-12,2015-06-04,539,2013,12,4,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-18,2015-06-29,496,2014,2,1,1
CHINA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-03-12,2015-07-23,498,2014,3,1,2
SOUTH KOREA,UNKNOWN,OHIO,UNKNOWN,DENIED,BACHELOR'S,ARCHITECTURAL ENGINEERING,2014-01-27,2015-06-26,515,2014,1,1,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2013-12-01,2014-12-29,393,2013,12,4,6
MEXICO,H-1B,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2013-12-13,2015-06-01,535,2013,12,4,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-12-12,2014-12-29,382,2013,12,4,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-09,2015-07-15,583,2013,12,4,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION NETWORKING,2014-01-27,2015-06-19,508,2014,1,1,0
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,CHEMICAL ENGINEERING,2013-12-09,2015-06-11,549,2013,12,4,0
RUSSIA,H-1B,OHIO,UNKNOWN,CERTIFIED,MASTER'S,INTERNATIONAL ADMINISTRATION,2013-12-12,2015-06-10,545,2013,12,4,3
SOUTH KOREA,F-2,GEORGIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-16,2015-06-02,533,2013,12,4,0
SOUTH KOREA,UNKNOWN,COLORADO,UNKNOWN,CERTIFIED,DOCTORATE,MINISTRY,2013-12-04,2015-06-11,554,2013,12,4,2
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-09,2015-06-25,532,2014,1,1,3
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-04,2015-06-19,562,2013,12,4,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE ( US EQUIVALENT ),2013-12-26,2015-06-05,526,2013,12,4,3
SOUTH KOREA,F-2,MICHIGAN,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-15,2015-08-05,477,2014,4,2,1
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-12-05,2015-07-15,587,2013,12,4,3
INDIA,H-1B,SOUTH CAROLINA,UNKNOWN,CERTIFIED,BACHELOR'S,SPECIAL EDUCATION,2014-03-18,2015-07-15,484,2014,3,1,1
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,OTHER,PROFESSIONAL BAKING COURSE (4 MONTHS),2013-12-04,2015-06-18,561,2013,12,4,2
SOUTH KOREA,F-2,CALIFORNIA,UNKNOWN,CERTIFIED,ASSOCIATE'S,SURFACE TREATMENT ENGINEERING TECHNOLOGY,2013-12-04,2015-05-29,541,2013,12,4,2
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-06,2015-06-03,544,2013,12,4,4
SOUTH KOREA,UNKNOWN,HAWAII,UNKNOWN,DENIED,HIGH SCHOOL,GENERAL,2014-01-29,2015-07-06,523,2014,1,1,2
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2013-12-11,2015-06-16,552,2013,12,4,2
INDIA,H-1B,ARIZONA,UNKNOWN,CERTIFIED,MASTER'S,CHEMISTRY,2013-12-13,2015-06-01,535,2013,12,4,4
INDIA,H-1B,UTAH,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS ENGINEERING,2014-01-06,2015-06-30,540,2014,1,1,0
INDIA,UNKNOWN,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,ELECTRICAL  AND COMPUTER ENGINEERING,2013-12-10,2015-06-16,553,2013,12,4,1
KAZAKHSTAN,PAROLEE,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ECONOMICS AND BUSINESS MANAGEMENT,2014-02-05,2015-07-09,519,2014,2,1,2
NEW ZEALAND,UNKNOWN,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-01-08,2015-06-16,524,2014,1,1,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-11,2015-06-30,504,2014,2,1,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-12-03,2015-06-09,553,2013,12,4,1
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,MANAGEMENT INFORMATION SYSTEMS,2013-12-19,2015-06-25,553,2013,12,4,3
ARGENTINA,UNKNOWN,NEW YORK,UNKNOWN,CERTIFIED,HIGH SCHOOL,UNKNOWN,2013-12-03,2015-06-18,562,2013,12,4,1
PHILIPPINES,NOT IN USA,OHIO,UNKNOWN,CERTIFIED,BACHELOR'S,NURSING,2014-06-05,2015-09-08,460,2014,6,2,3
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-25,2015-05-08,529,2013,11,4,0
BAHRAIN,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-09,2015-06-11,549,2013,12,4,0
BRAZIL,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,BACHELOR OF SCIENCE,2013-12-06,2015-06-01,542,2013,12,4,4
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-12-06,2015-06-05,546,2013,12,4,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-07,2015-06-16,556,2013,12,4,5
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,BUILDING DESIGN,2013-12-02,2015-06-12,557,2013,12,4,0
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-26,2015-07-09,560,2013,12,4,3
EL SALVADOR,EWI,VIRGINIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-16,2015-07-27,467,2014,4,2,2
CANADA,H-1B,COLORADO,UNKNOWN,DENIED,ASSOCIATE'S,ADVERTISING,2014-01-10,2015-07-16,552,2014,1,1,4
INDIA,H-1B,MARYLAND,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2014-03-24,2015-07-23,486,2014,3,1,0
PAKISTAN,F-1,MARYLAND,UNKNOWN,CERTIFIED,HIGH SCHOOL,SCIENCE,2013-12-03,2015-06-24,568,2013,12,4,1
INDIA,H-1B,ARIZONA,UNKNOWN,CERTIFIED,OTHER,MEDICINE,2013-12-05,2015-07-29,601,2013,12,4,3
CANADA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,BUSINESS ADMINISTRATION,2013-12-19,2015-01-28,405,2013,12,4,3
RUSSIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRONICS ENGINEERING,2013-12-21,2015-06-10,536,2013,12,4,5
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS AND COMMUNICATION ENGINEERING,2013-12-11,2015-06-04,540,2013,12,4,2
GUATEMALA,UNKNOWN,MARYLAND,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-26,2015-06-08,529,2013,12,4,3
PHILIPPINES,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2013-11-26,2015-09-02,645,2013,11,4,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2014-01-09,2015-06-24,531,2014,1,1,3
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING (TEXTILE PROCESSING),2013-12-17,2015-06-04,534,2013,12,4,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,TELECOMMUNICATIONS AND ELECTRICAL ENGINEERING,2014-01-28,2015-06-25,513,2014,1,1,1
RUSSIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-12-09,2015-06-03,541,2013,12,4,0
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,TELECOMMUNICATIONS MANAGEMENT,2013-12-27,2015-06-11,531,2013,12,4,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMMUNICATION AND INFORMATION SYSTEM,2014-01-06,2015-06-23,533,2014,1,1,0
INDIA,H-1B,MISSOURI,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL ENGINEERING AND MANAGEMENT,2014-01-29,2015-06-12,499,2014,1,1,2
INDIA,L-1,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS & COMMUNICATION ENGINEERING,2013-11-25,2015-05-21,542,2013,11,4,0
EL SALVADOR,EWI,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-26,2015-05-21,541,2013,11,4,1
INDIA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-27,2015-06-10,530,2013,12,4,4
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,FOOD SCIENCE,2013-12-09,2015-06-01,539,2013,12,4,0
INDIA,F-1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-02-20,2015-07-16,511,2014,2,1,3
INDIA,H-1B,ARKANSAS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2014-01-16,2015-06-10,510,2014,1,1,3
INDIA,UNKNOWN,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-08,2015-06-16,524,2014,1,1,2
INDIA,H-1B,OHIO,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-10,2015-06-02,539,2013,12,4,1
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION MANAGEMENT,2014-01-24,2015-07-09,531,2014,1,1,4
ARGENTINA,L-1,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,CHEMICAL ENGINEERING,2014-03-11,2015-07-17,493,2014,3,1,1
PHILIPPINES,H-1B,KENTUCKY,UNKNOWN,CERTIFIED,BACHELOR'S,OCCUPATIONAL THERAPY,2013-12-18,2015-05-28,526,2013,12,4,2
RUSSIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,DOCTORATE,TECHNOLOGICAL SCIENCES,2013-11-26,2015-05-15,535,2013,11,4,1
CHINA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2014-03-24,2015-08-11,505,2014,3,1,0
RUSSIA,F-1,NEW YORK,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-18,2015-06-18,577,2013,11,4,0
KENYA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,BIOINFORMATICS,2014-01-21,2015-06-26,521,2014,1,1,1
TURKEY,H-1B,RHODE ISLAND,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-11,2015-06-03,539,2013,12,4,2
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-22,2015-06-23,517,2014,1,1,2
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-02,2015-07-28,603,2013,12,4,0
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,PUBLIC ADMINISTRATION,2013-12-10,2015-06-16,553,2013,12,4,1
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER ENGINEERING,2013-12-04,2015-06-05,548,2013,12,4,2
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,DENIED,MASTER'S,COMPTUER SCIENCE,2013-11-26,2015-05-15,535,2013,11,4,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-12-20,2015-05-29,525,2013,12,4,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,DOCTORATE,DENTAL SURGERY,2014-11-21,2015-05-07,167,2014,11,4,4
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTING STUDIES,2014-12-11,2015-06-19,190,2014,12,4,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING (ELECTRONIC),2013-12-04,2015-07-29,602,2013,12,4,2
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2013-11-15,2015-06-18,580,2013,11,4,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-12-10,2015-06-02,539,2013,12,4,1
COSTA RICA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,ENVIRONMENTAL STUDIES,2014-01-09,2015-06-29,536,2014,1,1,3
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2013-12-18,2015-06-10,539,2013,12,4,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-01-15,2015-06-30,531,2014,1,1,2
SPAIN,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,DOCTORATE,APPLIED MATHEMATICS,2014-01-31,2015-06-17,502,2014,1,1,4
VENEZUELA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2013-12-24,2015-05-29,521,2013,12,4,1
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-10,2015-06-08,545,2013,12,4,1
CHINA,H-1B,NEBRASKA,UNKNOWN,CERTIFIED,MASTER'S,ARCHITECTURAL ENGINEERING,2013-12-23,2015-06-16,540,2013,12,4,0
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-05,2015-06-12,554,2013,12,4,3
SOUTH KOREA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,MANAGEMENT,2013-12-06,2015-06-09,550,2013,12,4,4
CANADA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-04,2015-06-11,554,2013,12,4,2
SOUTH KOREA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,HIGH SCHOOL,GENERAL,2013-12-06,2015-06-09,550,2013,12,4,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INTERNET AND MULTIMEDIA ENGINEERING,2014-01-02,2015-06-26,540,2014,1,1,3
PERU,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION (EQUIV. TO U.S. BACH. IN BUSINESS ADMINISTRATION),2014-03-04,2015-07-24,507,2014,3,1,1
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION,2013-12-10,2015-05-29,535,2013,12,4,1
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,INSTRUMENTATION AND CONTROL ENGINEERING,2013-12-16,2015-06-12,543,2013,12,4,0
IRELAND,UNKNOWN,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,INFORMATION TECHNOLOGY,2013-12-13,2015-06-02,536,2013,12,4,4
CANADA,TN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-02-28,2015-07-08,495,2014,2,1,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-20,2015-06-05,532,2013,12,4,4
CHINA,NOT IN USA,DISTRICT OF COLUMBIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-24,2015-07-01,523,2014,1,1,4
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2013-12-16,2015-05-29,529,2013,12,4,0
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-01-16,2015-06-29,529,2014,1,1,3
SRI LANKA,H-1B,WISCONSIN,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-23,2015-06-12,536,2013,12,4,0
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2013-12-02,2015-07-29,604,2013,12,4,0
COLOMBIA,NOT IN USA,CALIFORNIA,UNKNOWN,CERTIFIED,OTHER,GRAPHIC DESIGN,2013-12-04,2015-06-24,567,2013,12,4,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS (RELATED TO COMPUTER SCIENCE),2013-12-30,2015-06-09,526,2013,12,4,0
MEXICO,EWI,OKLAHOMA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-27,2015-05-29,548,2013,11,4,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2014-01-28,2015-06-25,513,2014,1,1,1
SOUTH KOREA,E-2,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-02,2015-07-09,553,2014,1,1,3
IRAN,H-1B,OHIO,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-20,2015-06-04,531,2013,12,4,4
INDIA,H-1B,COLORADO,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2013-12-16,2015-06-05,536,2013,12,4,0
